tie1,open1,tie2,open2,cycles_overlap,exact_loss,surrogate_loss,abs_err,rel_err,max_flow_err
11,9,23,18,True,17.110298682499998,17.061859512500003,0.04843916999999465,0.0028309949989088774,0.3900000000000001
11,9,23,16,True,17.9090476625,17.711724912500003,0.19732274999999788,0.011018048179813306,0.4500000000000002
11,9,23,15,True,18.8455578425,18.461636472500004,0.38392136999999593,0.020371982257494477,0.5100000000000002
11,9,23,14,True,19.638346265,19.089725435000002,0.5486208299999973,0.0279362031098191,0.5550000000000002
11,9,23,12,True,20.815938544999995,20.014717774999994,0.8012207700000005,0.038490734792856814,0.6150000000000001
11,9,23,10,True,22.131292024999993,21.039756274999995,1.0915357499999985,0.0493209230065274,0.6750000000000002
11,9,23,9,True,54.41881468250003,25.179106875000002,29.239707807500025,0.5373087961966013,2.2350000000000003
11,9,23,8,True,34.0098384025,27.811026522500004,6.198811879999997,0.18226525532518656,0.9200000000000004
11,9,23,30,True,31.8008011825,26.2765507625,5.524250419999998,0.17371419003870872,0.8600000000000003
11,9,23,31,True,29.7295251625,24.842121162500003,4.8874039999999965,0.1643956293713306,0.8000000000000003
11,9,23,32,True,27.7960103425,23.507737722499996,4.288272620000004,0.1542765514604537,0.74
11,9,23,33,True,24.342264302499995,21.139109322499998,3.203154979999997,0.13158820971601345,0.6199999999999999
11,9,23,34,True,19.8105649025,18.080694522500004,1.7298703799999977,0.08732059830266102,0.4200000000000004
11,9,23,35,True,17.416299102500002,16.5163866725,0.8999124300000005,0.051670703672677724,0.27
11,9,23,36,True,15.510819582500002,15.376840362500003,0.13397921999999873,0.008637791142330098,0.06000000000000005
11,7,23,22,True,15.627201982499999,16.0107295125,0.3835275300000003,0.024542303249775015,0.0900000000000003
11,7,23,21,True,15.589861762499998,16.1819305125,0.592068750000001,0.037977806283322466,0.15000000000000036
11,7,23,20,True,15.6902827425,16.4531776725,0.7628949299999999,0.048622127626391294,0.20999999999999996
11,7,23,19,True,15.928464922500005,16.824470992500004,0.8960060699999985,0.05625187827951525,0.27
11,7,23,18,True,16.8181128825,17.8671961125,1.0490832300000008,0.06237817746434673,0.3900000000000001
11,7,23,16,True,17.469578662500002,18.5386279125,1.069049249999999,0.061194907481930745,0.4500000000000002
11,7,23,15,True,18.2588056425,19.3101058725,1.051300229999999,0.057577710754144085,0.5100000000000002
11,7,23,14,True,18.941131665,19.954369635,1.0132379699999987,0.053494056634023124,0.5550000000000002
11,7,23,12,True,19.971440744999995,20.900928374999992,0.929487629999997,0.04654084008599637,0.6150000000000002
11,7,23,10,True,21.139511024999997,21.947533274999994,0.8080222499999969,0.038223317892472256,0.6750000000000003
11,7,23,7,True,47.73622948250002,31.481634475000003,16.25459500750002,0.3405085651655607,2.2350000000000003
11,7,23,8,True,36.933335802500004,28.145496722500003,8.787839080000001,0.23793786532017386,0.9200000000000004
11,7,23,30,True,34.5770153825,26.6325873625,7.94442802,0.2297603749807974,0.8600000000000003
11,7,23,31,True,32.3584561625,25.2197241625,7.138731999999997,0.22061410977551602,0.8000000000000003
11,7,23,32,True,30.277658142499998,23.906907122499998,6.37075102,0.2104109568189336,0.74
11,7,23,33,True,26.529345702499995,21.581411522499995,4.947934180000001,0.18650796123983304,0.6199999999999999
11,7,23,34,True,21.506702302500003,18.5948847225,2.911817580000001,0.1353911696476834,0.4200000000000002
11,7,23,35,True,18.7442285025,17.0844928725,1.6597356300000001,0.08854648937824429,0.2700000000000001
11,7,23,36,True,16.3232577825,16.020428962500002,0.30282881999999844,0.018551984170994233,0.06000000000000011
11,6,23,22,True,27.564238612499995,27.564238612500002,7.105427357601002e-15,2.577770225214489e-16,6.661338147750939e-16
11,6,23,21,True,27.841114972499994,27.8411149725,7.105427357601002e-15,2.5521346270145336e-16,6.661338147750939e-16
11,6,23,20,True,28.218037492500002,28.218037492500002,0.0,0.0,2.220446049250313e-16
11,6,23,19,True,28.695006172500015,28.695006172500005,1.0658141036401503e-14,3.714284280801368e-16,6.106226635438361e-16
11,6,23,18,True,29.949082012500003,29.949082012500003,0.0,0.0,2.220446049250313e-16
11,6,23,16,True,30.726189172500003,30.726189172500003,0.0,0.0,2.220446049250313e-16
11,6,23,15,True,31.603342492500005,31.603342492500005,0.0,0.0,2.220446049250313e-16
11,6,23,14,True,32.326862775,32.326862775,0.0,0.0,2.220446049250313e-16
11,6,23,12,True,33.37909687499999,33.379096874999995,7.105427357601002e-15,2.1287056939286961e-16,6.661338147750939e-16
11,6,23,10,True,34.53137713499999,34.531377135,7.105427357601002e-15,2.0576727449422076e-16,6.661338147750939e-16
11,6,23,9,True,45.17424022250002,39.094866935,6.079373287500019,0.1345761048233868,2.0550000000000006
11,6,23,7,True,39.42741742250001,44.769980735000004,5.342563312499998,0.13550376011823595,2.0550000000000006
11,6,23,8,True,37.920137262500006,37.920137262500006,0.0,0.0,2.220446049250313e-16
11,6,23,30,True,36.512903262500004,36.512903262500004,0.0,0.0,2.220446049250313e-16
11,6,23,31,True,35.205715422500006,35.205715422500006,0.0,0.0,2.220446049250313e-16
11,6,23,32,True,33.9985737425,33.9985737425,0.0,0.0,6.661338147750939e-16
11,6,23,33,True,31.88442886249999,31.8844288625,7.105427357601002e-15,2.228494475545666e-16,6.661338147750939e-16
11,6,23,34,True,29.250153262500003,29.250153262500003,0.0,0.0,2.220446049250313e-16
11,6,23,35,True,28.003949812500004,28.003949812500004,0.0,0.0,2.220446049250313e-16
11,6,23,36,True,27.309749662500003,27.309749662500003,0.0,0.0,2.220446049250313e-16
11,5,23,22,True,28.710605272500004,28.710605272500004,0.0,0.0,4.996003610813204e-16
11,5,23,21,True,28.993951552500008,28.993951552500008,0.0,0.0,4.996003610813204e-16
11,5,23,20,True,29.377343992500005,29.377343992500005,0.0,0.0,1.1102230246251565e-16
11,5,23,19,True,29.86078259250001,29.86078259250001,0.0,0.0,5.551115123125783e-16
11,5,23,18,True,31.127798272500005,31.127798272500005,0.0,0.0,2.220446049250313e-16
11,5,23,16,True,31.911375352500006,31.911375352500006,0.0,0.0,1.1102230246251565e-16
11,5,23,15,True,32.79499859250001,32.79499859250001,0.0,0.0,1.1102230246251565e-16
11,5,23,14,True,33.523371315000006,33.523371315000006,0.0,0.0,1.1102230246251565e-16
11,5,23,12,True,34.58207533499999,34.582075335,7.105427357601002e-15,2.054656144482372e-16,4.996003610813204e-16
11,5,23,10,True,35.74082551499999,35.740825515000004,1.4210854715202004e-14,3.9760846344295773e-16,4.996003610813204e-16
11,5,23,9,True,48.11800384250002,40.32588171500001,7.792122127500015,0.1619377676805798,2.115
11,5,23,7,True,42.05926024250001,46.02256191500001,3.963301672500002,0.09423136901716517,2.115
11,5,23,8,True,38.957593602500005,38.957593602500005,0.0,0.0,1.1102230246251565e-16
11,5,23,30,True,37.5568295225,37.5568295225,0.0,0.0,1.6653345369377348e-16
11,5,23,31,True,36.256111602500006,36.256111602500006,0.0,0.0,2.220446049250313e-16
11,5,23,32,True,35.05543984250001,35.05543984250001,0.0,0.0,4.996003610813204e-16
11,5,23,33,True,32.9542348025,32.954234802500004,7.105427357601002e-15,2.15615000626929e-16,4.996003610813204e-16
11,5,23,34,True,30.341525602500006,30.341525602500006,0.0,0.0,1.1102230246251565e-16
11,5,23,35,True,29.111496952500005,29.111496952500005,0.0,0.0,1.1102230246251565e-16
11,5,23,36,True,28.439941522500007,28.439941522500007,0.0,0.0,1.1102230246251565e-16
11,3,23,22,True,31.155303232499996,31.155303232500007,1.0658141036401503e-14,3.420971690393739e-16,6.106226635438361e-16
11,3,23,21,True,31.451589352499997,31.451589352500008,1.0658141036401503e-14,3.388744815706529e-16,6.106226635438361e-16
11,3,23,20,True,31.847921632500007,31.847921632500007,0.0,0.0,2.220446049250313e-16
11,3,23,19,True,32.34430007250001,32.34430007250001,0.0,0.0,4.440892098500626e-16
11,3,23,18,True,33.6371954325,33.63719543250001,7.105427357601002e-15,2.1123721125500827e-16,4.440892098500626e-16
11,3,23,16,True,34.4337123525,34.43371235250001,7.105427357601002e-15,2.0635089486902577e-16,4.440892098500626e-16
11,3,23,15,True,35.33027543250001,35.33027543250001,0.0,0.0,2.220446049250313e-16
11,3,23,14,True,36.068353035,36.06835303500001,7.105427357601002e-15,1.9699894116889782e-16,4.440892098500626e-16
11,3,23,12,True,37.13999689499998,37.139996895,2.1316282072803006e-14,5.739440994857147e-16,8.881784197001252e-16
11,3,23,10,True,38.311686914999996,38.311686915,7.105427357601002e-15,1.8546370389185465e-16,6.661338147750939e-16
11,3,23,9,True,54.41881468250003,42.93987591500001,11.478938767500019,0.21093694955453357,2.2350000000000003
11,3,23,7,True,47.73622948250002,48.679688915000014,0.9434594324999921,0.019764012422595335,2.2350000000000003
11,3,23,8,True,41.18447092250001,41.18447092250001,0.0,0.0,2.220446049250313e-16
11,3,23,30,True,39.796646682500004,39.796646682500004,0.0,0.0,2.7755575615628914e-16
11,3,23,31,True,38.50886860250001,38.50886860250001,0.0,0.0,3.3306690738754696e-16
11,3,23,32,True,37.3211366825,37.321136682500004,7.105427357601002e-15,1.9038614547162922e-16,6.106226635438361e-16
11,3,23,33,True,35.245811322499996,35.2458113225,7.105427357601002e-15,2.0159636254606756e-16,6.106226635438361e-16
11,3,23,34,True,32.67623492250001,32.67623492250001,0.0,0.0,2.220446049250313e-16
11,3,23,35,True,31.478555872500007,31.478555872500007,0.0,0.0,2.220446049250313e-16
11,3,23,36,True,30.852289882500006,30.852289882500006,0.0,0.0,2.220446049250313e-16
11,1,23,22,True,60.115999012500026,60.115999012500026,0.0,0.0,4.440892098500626e-16
11,1,23,21,True,60.5222737725,60.52227377250003,2.842170943040401e-14,4.69607429774362e-16,8.881784197001252e-16
11,1,23,20,True,61.02859469250003,61.02859469250003,0.0,0.0,0.0
11,1,23,19,True,61.63496177250003,61.63496177250003,0.0,0.0,4.440892098500626e-16
11,1,23,18,True,63.14783441250001,63.147834412500025,1.4210854715202004e-14,2.2504104610100435e-16,4.440892098500626e-16
11,1,23,16,True,64.05433997250002,64.05433997250003,1.4210854715202004e-14,2.2185623521065156e-16,4.440892098500626e-16
11,1,23,15,True,65.06089169250002,65.06089169250002,0.0,0.0,5.551115123125783e-17
11,1,23,14,True,65.88146077500001,65.88146077500002,1.4210854715202004e-14,2.1570339436970387e-16,4.440892098500626e-16
11,1,23,12,True,67.063093275,67.06309327500003,2.842170943040401e-14,4.2380552465508097e-16,8.881784197001252e-16
11,1,23,10,True,68.34477193500001,68.34477193500003,1.4210854715202004e-14,2.079289214501642e-16,4.440892098500626e-16
11,1,23,9,True,130.22414062250004,73.33958973500003,56.88455088750001,0.4368203208374372,3.255000000000001
11,1,23,7,True,118.23890182250007,79.44603153500003,38.79287028750004,0.3280888919768199,3.255000000000001
11,1,23,8,True,68.29369126250002,68.29369126250003,1.4210854715202004e-14,2.0808444312344802e-16,4.440892098500626e-16
11,1,23,30,True,67.01585566250002,67.01585566250003,1.4210854715202004e-14,2.1205212669028048e-16,4.440892098500626e-16
11,1,23,31,True,65.8380662225,65.83806622250002,1.4210854715202004e-14,2.1584556671479937e-16,8.881784197001252e-16
11,1,23,32,True,64.7603229425,64.76032294250003,2.842170943040401e-14,4.3887535050804707e-16,8.881784197001252e-16
11,1,23,33,True,62.90497486249999,62.904974862500026,3.552713678800501e-14,5.647746758608764e-16,8.881784197001252e-16
11,1,23,34,True,60.70202726250001,60.702027262500025,1.4210854715202004e-14,2.3410840388820203e-16,4.440892098500626e-16
11,1,23,35,True,59.77931981250001,59.77931981250003,1.4210854715202004e-14,2.377219205533763e-16,4.440892098500626e-16
11,1,23,36,True,59.53801406250001,59.538014062500025,1.4210854715202004e-14,2.386854002265538e-16,4.440892098500626e-16
11,2,23,22,True,23.4744457725,23.474445772499994,7.105427357601002e-15,3.026877578479367e-16,4.440892098500626e-16
11,2,23,21,True,23.4909078525,23.490907852499994,7.105427357601002e-15,3.0247563875420047e-16,4.440892098500626e-16
11,2,23,20,True,23.6074160925,23.6074160925,0.0,0.0,2.220446049250313e-16
11,2,23,19,True,23.823970492500006,23.823970492500006,0.0,0.0,2.7755575615628914e-17
11,2,23,18,True,24.5572177725,24.5572177725,0.0,0.0,2.220446049250313e-16
11,2,23,16,True,25.0739106525,25.0739106525,0.0,0.0,1.1102230246251565e-16
11,2,23,15,True,25.6906496925,25.6906496925,0.0,0.0,5.551115123125783e-17
11,2,23,14,True,26.218859265,26.218859265,0.0,0.0,1.1102230246251565e-16
11,2,23,12,True,27.010679084999996,27.010679084999992,3.552713678800501e-15,1.3152996515268849e-16,4.440892098500626e-16
11,2,23,10,True,27.902545064999998,27.90254506499999,7.105427357601002e-15,2.546515861205008e-16,4.440892098500626e-16
11,2,23,9,True,41.05107570500001,31.597987265,9.453088440000009,0.23027626627695472,0.3600000000000003
